,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
1/1/2019,"41,45","22,58","22,58","22,58","22,58","22,58","-3,93","-3,93","48,74","48,74","48,74","46,78","46,78","46,78","22,58","22,58","22,58",,,,,
2/1/2019,"47,53","42,65","42,65","42,65","42,65","42,65","27,23","27,23","50,98","50,98","50,98","50,62","50,62","50,62","42,65","42,65","41,72",,,,,
3/1/2019,"53,91","51,90","51,90","57,05","57,11","57,20","56,61","56,67","57,06","57,06","53,81","51,90","51,90","51,90","57,26","57,26","54,73",,,,,
4/1/2019,"51,10","50,85","50,85","51,00","51,07","54,60","49,57","49,79","51,08","51,08","51,08","50,85","50,85","50,85","54,60","54,60","54,60",,,,,
5/1/2019,"50,68","50,72","50,72","50,72","51,10","52,22","43,59","44,02","50,72","50,72","50,72","50,72","50,72","50,72","52,22","52,22","52,19",,,,,
6/1/2019,"51,08","51,02","51,02","51,16","51,98","51,16","51,12","52,06","51,17","51,17","51,17","51,02","51,02","51,02","51,16","51,98","51,98",,,,,
7/1/2019,"51,83","51,19","51,19","51,95","56,21","51,99","48,16","53,70","52,05","52,02","52,05","51,19","51,19","51,19","51,99","58,72","58,72",,,,,
8/1/2019,"49,50","49,50","49,50","49,50","49,50","52,07","34,50","34,50","49,63","49,63","49,63","49,50","49,50","49,50","52,07","58,80","58,80",,,,,
9/1/2019,"50,31","50,07","50,07","50,07","50,07","58,12","40,18","40,18","50,47","50,47","50,47","50,07","50,07","50,07","58,12","58,70","58,65",,,,,
10/1/2019,"53,80","50,10","50,10","59,51","64,64","59,62","59,59","67,92","59,59","59,59","59,59","49,95","49,95","49,95","59,62","64,93","65,08",,,,,
11/1/2019,"49,31","48,43","48,43","49,49","49,49","51,46","48,90","50,47","49,88","49,88","49,88","48,43","48,43","48,43","51,46","55,15","55,15",,,,,
12/1/2019,"49,11","48,24","48,24","48,24","48,24","48,24","48,24","48,24","49,62","49,62","49,62","48,81","48,81","48,81","48,24","48,66","48,66",,,,,
13-01-2019,"48,48","47,95","47,95","47,95","47,95","47,95","32,77","38,62","49,31","49,31","49,31","48,50","48,50","48,50","47,95","47,95","47,95",,,,,
14-01-2019,"48,48","43,90","43,90","43,90","43,90","48,31","32,61","34,86","49,76","49,76","49,76","49,19","49,19","49,19","48,31","48,54","48,54",,,,,
15-01-2019,"51,85","50,22","50,22","50,34","50,34","53,46","50,13","50,34","52,09","51,89","52,09","51,96","51,96","51,96","53,46","53,56","53,56",,,,,
16-01-2019,"52,39","52,15","52,15","52,15","52,15","55,58","51,67","52,15","52,56","52,08","52,45","52,50","52,50","52,50","55,58","55,58","55,58",,,,,
17-01-2019,"52,72","51,96","51,96","52,25","52,25","52,80","50,49","50,49","52,96","52,96","52,96","52,52","52,52","52,52","52,80","52,80","52,80",,,,,
18-01-2019,"57,35","54,21","54,21","61,17","61,76","62,13","61,17","61,79","61,17","61,17","61,17","53,89","53,89","51,89","61,71","61,71","61,71",,,,,
19-01-2019,"54,53","55,04","55,04","55,04","55,27","55,05","54,98","55,29","55,10","55,10","55,10","55,04","55,04","51,12","55,05","55,41","55,41",,,,,
20-01-2019,"54,38","55,05","55,05","55,05","55,05","55,05","55,05","55,09","55,35","55,35","55,35","54,33","54,33","51,16","55,05","55,05","55,05",,,,,
21-01-2019,"63,09","68,84","68,84","68,84","68,84","68,84","68,24","68,84","68,46","68,24","68,24","57,41","57,41","52,44","68,84","68,84","68,84",,,,,
22-01-2019,"60,05","62,93","62,93","62,93","62,93","64,29","62,63","62,93","62,68","62,57","62,61","56,31","56,31","52,61","64,29","64,29","64,29",,,,,
23-01-2019,"62,50","68,10","68,10","68,10","69,52","68,10","67,93","69,52","67,71","67,71","67,71","55,29","55,29","51,42","68,10","68,73","69,52",,,,,
24-01-2019,"68,65","77,84","77,84","79,12","79,45","79,12","79,12","79,45","78,13","78,13","78,13","55,63","55,63","52,48","79,12","79,12","79,45",,,,,
25-01-2019,"60,66","65,26","65,26","65,26","66,54","65,36","65,06","66,54","64,46","64,44","64,46","54,86","54,86","52,27","65,36","66,48","66,54",,,,,
26-01-2019,"53,86","54,07","54,07","54,07","54,07","55,05","52,72","54,07","54,03","53,92","54,03","54,03","54,03","51,71","55,05","55,05","55,05",,,,,
27-01-2019,"52,02","52,17","52,17","52,17","52,17","53,06","45,16","46,25","52,17","52,17","52,17","52,17","52,17","51,86","53,06","53,06","51,75",,,,,
