Cushing OK WTI Spot Price FOB
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=RWTC&f=M
14:13:19 GMT+0200 (sentraleuropeisk sommertid)
Data Source: Thomson Reuters
Month,Cushing OK WTI Spot Price FOB Dollars per Barrel
Mar 2020,29.21
Feb 2020,50.54
Jan 2020,57.52
Dec 2019,59.88
Nov 2019,57.03
Oct 2019,53.96
Sep 2019,56.95
Aug 2019,54.81
Jul 2019,57.35
Jun 2019,54.66
May 2019,60.83
Apr 2019,63.86
Mar 2019,58.15
Feb 2019,54.95
Jan 2019,51.38
Dec 2018,49.52
Nov 2018,56.96
Oct 2018,70.75
Sep 2018,70.23
Aug 2018,68.06
Jul 2018,70.98
Jun 2018,67.87
May 2018,69.98
Apr 2018,66.25
Mar 2018,62.73
Feb 2018,62.23
Jan 2018,63.7
Dec 2017,57.88
Nov 2017,56.64
Oct 2017,51.58
Sep 2017,49.82
Aug 2017,48.04
Jul 2017,46.63
Jun 2017,45.18
May 2017,48.48
Apr 2017,51.06
Mar 2017,49.33
Feb 2017,53.47
Jan 2017,52.5
Dec 2016,51.97
Nov 2016,45.66
Oct 2016,49.78
Sep 2016,45.18
Aug 2016,44.72
Jul 2016,44.65
Jun 2016,48.76
May 2016,46.71
Apr 2016,40.75
Mar 2016,37.55
Feb 2016,30.32
Jan 2016,31.68
Dec 2015,37.19
Nov 2015,42.44
Oct 2015,46.22
Sep 2015,45.48
Aug 2015,42.87
Jul 2015,50.9
Jun 2015,59.82
May 2015,59.27
Apr 2015,54.45
Mar 2015,47.82
Feb 2015,50.58
Jan 2015,47.22
Dec 2014,59.29
Nov 2014,75.79
Oct 2014,84.4
Sep 2014,93.21
Aug 2014,96.54
Jul 2014,103.59
Jun 2014,105.79
May 2014,102.18
Apr 2014,102.07
Mar 2014,100.8
Feb 2014,100.82
Jan 2014,94.62
Dec 2013,97.63
Nov 2013,93.86
Oct 2013,100.54
Sep 2013,106.29
Aug 2013,106.57
Jul 2013,104.67
Jun 2013,95.77
May 2013,94.51
Apr 2013,92.02
Mar 2013,92.94
Feb 2013,95.31
Jan 2013,94.76
Dec 2012,87.86
Nov 2012,86.53
Oct 2012,89.49
Sep 2012,94.51
Aug 2012,94.13
Jul 2012,87.9
Jun 2012,82.3
May 2012,94.66
Apr 2012,103.32
Mar 2012,106.16
Feb 2012,102.2
Jan 2012,100.27
Dec 2011,98.56
Nov 2011,97.16
Oct 2011,86.32
Sep 2011,85.52
Aug 2011,86.33
Jul 2011,97.3
Jun 2011,96.26
May 2011,100.9
Apr 2011,109.53
Mar 2011,102.86
Feb 2011,88.58
Jan 2011,89.17
Dec 2010,89.15
Nov 2010,84.25
Oct 2010,81.89
Sep 2010,75.24
Aug 2010,76.6
Jul 2010,76.32
Jun 2010,75.34
May 2010,73.74
Apr 2010,84.29
Mar 2010,81.2
Feb 2010,76.39
Jan 2010,78.33
Dec 2009,74.47
Nov 2009,77.99
Oct 2009,75.72
Sep 2009,69.41
Aug 2009,71.05
Jul 2009,64.15
Jun 2009,69.64
May 2009,59.03
Apr 2009,49.65
Mar 2009,47.94
