Elspot prices in EUR/MWh,,,,,,,,,,,,
Data was last updated 30-12-2019,,,,,,,,,,,,
,SYS,SE,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,KT
07 - Jan,"27,57","27,47","27,46","25,66","27,30","27,70","27,70","27,70","27,85","27,85","27,84","31,34"
07 - Feb,"28,82","30,13","30,08","28,47","30,59","27,67","27,67","27,67","30,13","30,13","30,01","30,39"
07 - Mar,"23,82","23,70","23,70","24,98","24,14","23,76","23,76","23,76","23,86","23,86","23,86","25,05"
07 - Apr,"22,42","22,19","22,19","24,33","25,42","22,37","22,37","22,37","22,35","22,35","22,35","28,90"
07 - May,"21,38","22,02","22,02","24,54","24,07","20,93","20,93","20,93","21,86","21,86","21,86","30,49"
07 - Jun,"23,68","26,78","26,92","31,64","31,09","21,98","21,98","21,98","25,70","25,70","25,63","33,71"
07 - Jul,"17,65","22,36","22,37","24,16","26,55","12,71","12,71","12,71","22,36","22,36","22,36","28,41"
07 - Aug,"16,53","26,88","26,88","27,85","29,01","5,36","5,36","5,36","24,64","24,64","24,46","28,69"
07 - Sep,"25,21","32,24","32,24","33,37","34,60","18,24","18,24","18,24","27,03","27,03","27,14","34,69"
07 - Oct,"36,60","37,88","37,24","51,06","49,43","35,45","35,45","35,45","37,64","37,64","37,05","54,90"
07 - Nov,"45,72","45,87","45,59","47,56","47,15","46,07","46,07","46,07","45,88","45,88","45,86","61,39"
07 - Dec,"45,97","45,70","43,63","44,94","46,69","46,96","46,96","46,96","45,85","45,85","44,93","51,21"
