Elspot prices in EUR/MWh,,,,,,,,,,,,
Data was last updated 30-12-2019,,,,,,,,,,,,
,SYS,SE,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE
10 - Jan,"53,38","65,78","65,78","43,29","66,12","50,18","46,81","46,81","65,98","65,98","65,66",
10 - Feb,"68,92","93,99","93,70","43,45","93,91","79,37","55,96","55,96","96,06","96,06","93,99",
10 - Mar,"57,04","59,06","55,22","42,12","56,36","60,22","55,91","56,25","63,64","63,64","59,40",
10 - Apr,"46,87","44,22","43,71","41,11","41,09","48,45","48,45","48,45","46,74","46,74","46,60","35,79"
10 - May,"42,98","39,65","39,47","41,73","39,28","45,11","45,16","45,22","43,41","43,41","43,43","34,81"
10 - Jun,"44,76","41,96","41,96","45,49","43,65","45,67","45,83","45,92","44,31","44,31","44,95","38,45"
10 - Jul,"45,43","45,81","48,76","46,81","47,14","45,52","45,52","45,52","45,58","45,58","45,46","47,90"
10 - Aug,"42,89","43,21","43,21","43,28","47,30","42,85","42,85","42,85","42,72","42,72","42,62","56,62"
10 - Sep,"49,37","51,20","51,20","49,86","51,20","48,60","48,60","48,60","51,33","51,33","49,80","50,63"
10 - Oct,"49,66","51,32","51,23","49,48","52,06","48,92","48,91","48,92","51,15","51,15","50,51","49,46"
10 - Nov,"54,78","56,26","56,63","50,45","55,96","55,09","53,60","54,63","56,27","56,27","56,23","50,34"
10 - Dec,"81,65","91,86","91,34","60,50","91,64","82,83","72,56","82,50","91,86","91,86","91,86","52,77"
