Elspot prices in EUR/MWh,,,,,,,,,,,,,,,,,
Data was last updated 30-12-2019,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,ELE,LT
12 - Jan,"37,18","37,14","37,14","38,20","38,26","38,82","37,01","37,65","36,45","34,95","35,12","36,82","36,82","36,82","39,77",,
12 - Feb,"49,06","48,40","48,40","50,80","52,75","52,81","48,35","53,43","47,20","44,48","45,51","48,33","48,33","48,33","48,47",,
12 - Mar,"29,20","28,30","29,02","29,02","29,72","36,51","31,52","32,00","28,76","28,70","28,70","28,26","28,26","28,34","39,21",,
12 - Apr,"31,71","31,51","31,51","31,52","33,80","36,48","34,76","36,01","30,36","30,22","30,36","31,37","31,37","30,57","36,69",,
12 - May,"28,50","29,31","29,31","30,00","31,99","33,34","36,06","36,34","26,71","26,70","26,71","29,15","29,15","28,33","36,15",,
12 - Jun,"25,04","26,23","26,23","27,14","35,29","27,38","37,21","36,99","23,40","23,44","22,92","26,15","26,15","25,73","30,80",,
12 - Jul,"13,70","13,36","13,36","13,36","19,31","13,67","25,55","28,39","13,06","13,73","12,46","13,34","13,34","13,34","35,85","42,63","45,81"
12 - Aug,"23,57","26,02","26,02","27,05","27,85","38,18","39,01","40,00","19,96","20,63","19,66","23,95","23,95","23,95","40,32","51,19","54,10"
12 - Sep,"25,38","29,18","29,18","29,50","30,03","41,03","37,40","37,85","18,67","18,74","15,89","28,77","28,77","27,82","42,15","42,81","44,53"
12 - Oct,"34,76","34,69","34,69","34,69","34,70","38,57","38,11","38,17","34,34","34,34","34,31","34,62","34,62","33,76","40,19","42,12","44,80"
12 - Nov,"34,21","33,74","33,74","33,74","33,78","36,95","34,91","36,07","33,97","33,97","34,00","34,16","34,16","34,19","37,49","37,53","39,33"
12 - Dec,"42,94","43,66","43,66","43,83","44,09","46,79","36,86","38,76","42,56","40,69","42,40","43,78","43,78","43,78","43,56","43,56","44,42"
