Elspot prices in EUR/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 30-12-2019,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,ELE,LV,LT
13 - Jan,"41,39","41,42","41,42","41,90","42,21","41,59","40,77","40,89","42,19","40,49","42,15","41,52","41,52","41,40","41,77","43,03",,"43,87"
13 - Feb,"39,67","39,43","39,43","39,43","39,55","39,43","39,40","40,20","39,84","39,75","39,84","39,46","39,46","39,46","39,82","41,47",,"42,94"
13 - Mar,"44,83","44,46","44,46","44,46","44,46","45,01","40,33","41,58","45,26","45,19","45,60","44,49","44,49","44,48","45,28","46,18",,"46,35"
13 - Apr,"45,91","43,91","43,91","43,91","44,02","43,91","42,82","43,55","47,79","47,72","48,39","46,37","46,37","44,48","43,31","44,17",,"44,82"
13 - May,"36,87","36,86","36,86","36,86","36,96","37,35","36,82","37,40","36,96","36,96","36,91","36,97","36,97","36,80","37,14","39,76",,"42,72"
13 - Jun,"33,46","34,20","34,20","34,20","34,42","38,63","47,74","34,32","32,41","32,42","32,41","34,21","34,21","34,11","53,36",,,"54,82"
13 - Jul,"33,81","34,22","34,22","34,22","34,98","37,03","36,24","36,44","32,99","33,00","32,84","34,02","34,02","33,94","40,20",,"49,16","49,16"
13 - Aug,"35,40","40,38","40,38","40,38","40,39","43,47","40,17","41,37","32,71","32,71","32,65","36,23","36,23","35,97","43,66",,"51,31","51,31"
13 - Sep,"38,42","44,61","44,61","45,71","45,93","47,76","43,67","46,30","35,56","35,42","35,56","43,27","43,27","41,79","47,38",,"61,99","61,99"
13 - Oct,"38,33","41,36","41,36","42,23","42,26","45,95","35,87","41,86","36,86","36,61","36,84","41,51","41,51","41,48","46,76",,"64,18","64,18"
13 - Nov,"36,70","36,96","36,96","37,31","40,04","38,04","35,60","39,88","36,02","35,80","36,02","37,24","37,24","37,09","42,32",,"47,32","47,32"
13 - Dec,"32,66","32,59","32,59","32,89","34,02","35,65","28,80","31,69","32,46","32,25","32,26","32,41","32,41","32,41","36,84",,"37,48","37,48"
