Elspot prices in EUR/MWh,,,,,,,,,,,,,,,,,
Data was last updated 30-12-2019,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
15 - Jan,"30,08","29,91","29,91","30,28","30,46","33,80","25,75","29,15","28,76","28,56","28,59","30,44","30,44","30,44","33,84","39,78","39,78"
15 - Feb,"29,05","28,11","28,11","29,59","31,11","33,18","29,27","30,95","28,50","28,50","28,50","28,35","28,35","28,35","33,42","39,43","39,44"
15 - Mar,"25,34","25,20","25,20","25,89","26,51","29,42","26,50","27,50","24,79","24,79","24,68","25,31","25,31","25,30","30,31","32,22","32,22"
15 - Apr,"25,31","25,23","25,23","25,51","25,71","30,09","25,52","26,45","24,80","24,73","24,73","25,64","25,64","25,32","30,50","34,81","35,61"
15 - May,"22,33","22,37","22,37","22,51","23,31","25,87","22,03","23,48","21,54","21,54","21,54","23,66","23,66","22,68","32,30","37,36","37,36"
15 - Jun,"14,43","14,86","14,86","15,29","20,14","21,52","19,13","21,51","13,56","13,56","13,56","14,66","14,66","13,31","27,26","42,80","42,80"
15 - Jul,"9,55","9,07","9,07","9,07","9,19","27,57","13,65","13,79","8,96","8,98","8,96","9,08","9,08","8,80","28,06","44,26","44,26"
15 - Aug,"13,05","14,42","14,42","16,69","16,69","31,12","21,91","23,95","11,01","11,48","10,69","13,69","13,69","11,69","31,20","46,40","46,40"
15 - Sep,"17,45","20,69","20,83","20,91","21,99","31,75","21,24","25,28","12,94","12,94","12,94","20,34","20,34","19,74","31,70","44,30","44,30"
15 - Oct,"22,13","22,36","22,36","23,63","24,75","33,49","26,25","26,77","21,44","21,44","21,44","22,26","22,26","20,34","34,97","56,44","56,44"
15 - Nov,"24,87","24,10","24,10","25,77","26,11","31,74","25,18","26,03","24,86","24,51","24,51","23,85","23,85","22,60","32,88","45,76","45,84"
15 - Dec,"18,85","18,33","18,33","19,64","19,71","26,56","18,92","19,63","17,81","17,59","17,63","18,69","18,69","17,34","26,72","38,34","38,34"
