Elspot prices in EUR/MWh,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 30-12-2019,,,,,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
19 - Jan,"53,78","53,50","53,50","54,37","54,91","55,78","50,30","51,66","55,81","55,56","55,53","52,44","52,44","51,21","55,76","56,62","56,50",,,,,
19 - Feb,"45,86","45,19","45,19","45,54","46,09","46,76","42,81","43,93","46,35","46,28","46,30","45,31","45,31","45,31","47,28","47,28","46,97",,,,,
19 - Mar,"40,86","39,34","39,34","39,39","39,54","40,01","33,59","35,64","42,03","42,02","42,03","41,12","41,12","41,12","40,10","40,07","39,99",,,,,
19 - Apr,"40,82","39,69","39,69","39,69","39,92","41,44","39,07","39,89","41,39","41,34","41,39","41,32","41,32","41,25","42,18","43,52","43,52",,,,,
19 - May,"38,07","34,82","34,82","34,82","36,03","39,84","37,43","38,15","39,46","39,46","39,46","38,66","38,66","38,58","42,32","44,28","44,11",,,,,
19 - Jun,"27,96","24,47","24,47","24,47","27,71","30,71","32,88","33,62","30,07","30,21","30,07","25,99","25,99","26,04","43,46","44,65","44,65",,,,,
19 - Jul,"35,15","34,92","34,92","35,07","37,34","45,91","38,82","39,00","34,98","34,99","34,98","34,44","34,44","34,30","48,92","48,95","48,94",,,,,
19 - Aug,"36,11","36,88","36,88","37,01","38,64","48,77","37,87","39,49","34,73","34,73","34,73","36,63","36,63","36,22","49,08","49,49","49,37","37,71","33,72","36,85","33,39","37,44"
19 - Sep,"32,92","34,07","34,07","34,74","36,56","48,75","35,38","37,32","29,86","30,04","29,86","33,33","33,33","33,27","48,77","48,85","48,79","38,04","33,57","35,75","35,54","36,57"
19 - Oct,"37,10","36,36","36,36","37,71","42,09","46,33","38,26","41,50","36,73","36,70","36,73","36,60","36,60","36,22","47,66","47,33","46,96","38,98","37,60","36,94","38,60","37,94"
19 - Nov,"42,15","41,23","41,23","41,80","42,31","45,71","41,75","42,70","42,27","42,21","42,36","41,29","41,29","40,93","45,72","45,26","44,70","42,74","44,40","41,00","45,94","42,71"
19 - Dec,"36,79","35,14","35,14","36,01","36,70","38,42","34,04","35,35","38,02","37,91","38,04","35,62","35,62","35,58","39,05","39,05","38,97","38,11","36,36","31,97","36,46","37,39"
