Date	ActualValue	ForecastValue	PreviousValue
2020.05.04	34.5	34.4	34.4
2020.04.23	34.4	44.4	45.4
2020.04.01	45.4	45.7	45.7
2020.03.24	45.7	49.4	48
2020.03.02	48	47.8	47.8
2020.02.21	47.8	46.2	45.3
2020.02.03	45.3	45.2	45.2
2020.01.24	45.2	43.3	43.7
2020.01.02	43.7	43.4	43.4
2019.12.16	43.4	44.3	44.1
2019.12.02	44.1	43.8	43.8
2019.11.22	43.8	42.3	42.1
2019.11.04	42.1	41.9	41.9
2019.10.24	41.9	40	41.7
2019.10.01	41.7	41.4	41.4
2019.09.23	41.4	44.1	43.5
2019.09.02	43.5	43.6	43.6
2019.08.22	43.6	41.8	43.2
2019.08.01	43.2	43.1	43.1
2019.07.24	43.1	45.4	45
2019.07.01	45	45.4	45.4
2019.06.21	45.4	44.1	44.3
2019.06.03	44.3	44.3	44.3
2019.05.23	44.3	44.3	44.4
2019.05.02	44.4	44.5	44.5
2019.04.18	44.5	42.8	44.1
2019.04.01	44.1	44.7	44.7
2019.03.22	44.7	47.5	47.6
2019.03.01	47.6	47.6	47.6
2019.02.21	47.6	48.4	49.7
2019.02.01	49.7	49.9	49.9
2019.01.24	49.9	52	51.5
2019.01.02	51.5	51.9	51.5
2018.12.14	51.5	51.8	51.8
2018.12.03	51.8	50.8	51.6
2018.11.23	51.6	50.7	52.2
2018.11.02	52.2		52.3
2018.10.24	52.3		53.7
2018.10.01	53.7		53.7
2018.09.21	53.7		55.9
2018.09.03	55.9		56.1
2018.08.23	56.1		56.9
2018.08.01	56.9		57.3
2018.07.24	57.3		55.9
2018.07.02	55.9		55.9
2018.06.22	55.9		56.9
2018.06.01	56.9		56.8
2018.05.23	56.8		58.1
2018.05.02	58.1		58.1
2018.04.23	58.1		58.2
2018.04.03	58.2		58.4
2018.03.22	58.4		60.6
2018.03.01	60.6		60.3
2018.02.21	60.3		61.1
2018.02.01	61.1		61.2
2018.01.24	61.2		63.3
