Price Hub,Trade Date,Delivery Start Date,Delivery End Date, High Price $/MWh , Low Price $/MWh , Wtd Avg Price $/MWh , Change , Daily Volume MWh ,Number of Trades,Number of Counterparties,
Indiana,4-Jan-06,5-Jan-06,5-Jan-06,53.5,48,50.93,,13 600,17,11,
Indiana,5-Jan-06,6-Jan-06,6-Jan-06,57.5,52.75,55,4.07,31 200,39,15,
Indiana,6-Jan-06,9-Jan-06,9-Jan-06,51.5,49.5,50.38,-4.62,3 200,4,4,
Indiana,9-Jan-06,10-Jan-06,10-Jan-06,52,49.5,51.25,0.87,19 200,24,12,
Indiana,10-Jan-06,11-Jan-06,11-Jan-06,46.75,45.25,45.8,-5.45,21 600,27,14,
Indiana,11-Jan-06,12-Jan-06,12-Jan-06,43,39.5,41.3,-4.5,10 400,13,8,
Indiana,12-Jan-06,13-Jan-06,13-Jan-06,41.8,41,41.55,0.25,16 800,18,11,
Indiana,13-Jan-06,16-Jan-06,16-Jan-06,44.25,42,43.06,1.51,14 400,16,11,
Indiana,16-Jan-06,17-Jan-06,17-Jan-06,53,50.5,51.53,8.47,6 400,8,6,
Indiana,17-Jan-06,18-Jan-06,18-Jan-06,66,62,64.35,12.82,16 000,19,16,
Indiana,18-Jan-06,19-Jan-06,19-Jan-06,55,52,53.38,-10.97,15 200,19,20,
Indiana,19-Jan-06,20-Jan-06,20-Jan-06,53,50,51.68,-1.7,15 200,19,21,
Indiana,20-Jan-06,23-Jan-06,23-Jan-06,59,58.25,58.57,6.89,14 400,13,8,
Indiana,23-Jan-06,24-Jan-06,24-Jan-06,59,56,56.7,-1.87,4 000,5,6,
Indiana,24-Jan-06,25-Jan-06,25-Jan-06,56,53,54.61,-2.09,5 600,7,8,
Indiana,25-Jan-06,26-Jan-06,26-Jan-06,51,49,50.14,-4.47,14 400,10,8,
Indiana,26-Jan-06,27-Jan-06,27-Jan-06,49,46,47.09,-3.05,17 600,21,13,
Indiana,27-Jan-06,30-Jan-06,30-Jan-06,53,51.5,52.25,5.16,4 800,6,7,
Indiana,30-Jan-06,31-Jan-06,31-Jan-06,53,50,50.92,-1.33,21 600,23,10,
