Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh,Low Price $/MWh,Wtd Avg Price $/MWh,Change, Daily Volume MWh ,Number of Trades,Number of Companies
NEPOOL,1/3/01,1/4/01,1/4/01,74.50,74.00,74.25,, 1 600 ,2,3
NEPOOL,1/8/01,1/9/01,1/9/01,83.00,81.00,82.00,7.75 , 1 600 ,2,3
NEPOOL,1/9/01,1/10/01,1/10/01,89.00,88.00,88.67,6.67 , 2 400 ,3,3
NEPOOL,1/10/01,1/11/01,1/11/01,77.50,73.00,75.25,(13.42), 1 600 ,2,3
NEPOOL,1/11/01,1/12/01,1/12/01,75.75,75.75,75.75,0.50 , 800 ,1,2
NEPOOL,1/12/01,1/15/01,1/15/01,75.00,74.00,74.50,(1.25), 2 400 ,3,3
NEPOOL,1/15/01,1/16/01,1/16/01,80.00,76.50,77.75,3.25 , 3 200 ,4,3
NEPOOL,1/16/01,1/17/01,1/17/01,79.50,76.00,78.38,0.63 , 3 200 ,4,4
NEPOOL,1/17/01,1/18/01,1/18/01,75.50,74.50,75.00,(3.38), 3 200 ,3,4
NEPOOL,1/18/01,1/19/01,1/19/01,71.75,70.75,71.25,(3.75), 1 600 ,2,3
NEPOOL,1/19/01,1/22/01,1/22/01,74.75,74.00,74.40,3.15 , 4 000 ,5,3
NEPOOL,1/23/01,1/24/01,1/24/01,67.50,66.50,67.00,(7.40), 2 400 ,3,3
NEPOOL,1/24/01,1/25/01,1/25/01,67.00,65.75,66.33,(0.67), 2 400 ,3,2
NEPOOL,1/25/01,1/26/01,1/26/01,65.00,61.25,63.38,(2.95), 3 200 ,4,3
NEPOOL,1/26/01,1/29/01,1/29/01,62.00,61.25,61.62,(1.76), 1 600 ,2,2
NEPOOL,1/29/01,1/30/01,1/30/01,59.50,58.00,58.80,(2.82), 4 000 ,5,4
NEPOOL,1/30/01,1/31/01,1/31/01,55.25,55.00,55.12,(3.68), 3 200 ,4,4
NEPOOL,1/31/01,2/1/01,2/1/01,57.50,53.00,53.89,(1.23), 5 600 ,7,4
NEPOOL,2/1/01,2/2/01,2/2/01,53.25,52.00,52.86,(1.03), 7 200 ,9,4
