Price Hub,Trade Date,Delivery Start Date,Delivery End Date, High Price $/MWh , Low Price $/MWh , Wtd Avg Price $/MWh ,Change, Daily Volume MWh ,Number of Trades,Number of Counterparties
NP15,1-Apr-09,2-Apr-09,2-Apr-09,31.9,30.75,31.02,,14 000,34,10
NP15,2-Apr-09,3-Apr-09,4-Apr-09,28.85,28,28.3,(2.72),52 000,59,13
NP15,3-Apr-09,6-Apr-09,6-Apr-09,31.5,31,31.22,2.92 ,20 000,41,13
NP15,6-Apr-09,7-Apr-09,7-Apr-09,34.25,33.4,33.8,2.58 ,22 000,47,13
NP15,7-Apr-09,8-Apr-09,9-Apr-09,30,29.75,29.9,(3.90),52 800,54,16
NP15,8-Apr-09,10-Apr-09,11-Apr-09,28.25,27.85,27.95,(1.95),48 000,57,11
NP15,9-Apr-09,13-Apr-09,13-Apr-09,29.75,29,29.43,1.48 ,24 400,57,14
NP15,13-Apr-09,14-Apr-09,14-Apr-09,27.35,27,27.1,(2.33),24 400,60,12
NP15,14-Apr-09,15-Apr-09,15-Apr-09,29,28.5,28.62,1.52 ,22 800,50,14
NP15,15-Apr-09,16-Apr-09,16-Apr-09,30.3,29.5,29.97,1.35 ,15 200,32,12
NP15,16-Apr-09,17-Apr-09,18-Apr-09,27,26.5,26.74,(3.23),67 200,70,13
NP15,17-Apr-09,20-Apr-09,20-Apr-09,37.75,35.75,36.31,9.57 ,23 200,49,11
NP15,20-Apr-09,21-Apr-09,21-Apr-09,36,34.75,35.31,(1.00),27 200,63,13
NP15,21-Apr-09,22-Apr-09,22-Apr-09,31.4,31,31.24,(4.07),14 400,33,10
NP15,22-Apr-09,23-Apr-09,23-Apr-09,28.5,28.1,28.33,(2.91),21 600,40,11
NP15,23-Apr-09,24-Apr-09,25-Apr-09,25.5,24.75,25.29,(3.04),46 400,41,11
NP15,24-Apr-09,27-Apr-09,27-Apr-09,28.5,27.5,27.84,2.55 ,16 000,33,9
NP15,27-Apr-09,28-Apr-09,28-Apr-09,26.5,26.25,26.39,(1.45),43 600,59,10
NP15,28-Apr-09,29-Apr-09,29-Apr-09,27.5,27,27.4,1.01 ,11 600,13,9
NP15,29-Apr-09,30-Apr-09,30-Apr-09,29,28.1,28.58,1.18 ,21 200,32,8
NP15,30-Apr-09,1-May-09,2-May-09,27.25,26.55,26.91,(1.67),62 400,67,13
NP15,1-May-09,4-May-09,4-May-09,27.75,27.1,27.34,0.43 ,19 200,45,12
