Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh,Low Price $/MWh,Wtd Avg Price $/MWh,Change, Daily Volume MWh ,Number of Trades,Number of Companies
PJM West,1/2/01,1/3/01,1/3/01,65.50,64.50,65.00,, 1 600 ,2,2
PJM West,1/3/01,1/4/01,1/4/01,63.00,59.50,61.25,(3.75), 3 200 ,4,2
PJM West,1/4/01,1/5/01,1/5/01,60.00,58.50,59.12,(2.13), 4 800 ,6,4
PJM West,1/8/01,1/9/01,1/9/01,59.50,59.50,59.50,0.38 , 800 ,1,2
PJM West,1/9/01,1/10/01,1/10/01,58.00,55.50,56.61,(2.89), 5 600 ,7,6
PJM West,1/10/01,1/11/01,1/11/01,50.50,49.00,49.75,(6.86), 3 200 ,4,4
PJM West,1/11/01,1/12/01,1/12/01,47.00,46.00,46.33,(3.42), 4 800 ,6,3
PJM West,1/12/01,1/15/01,1/15/01,45.50,45.00,45.12,(1.21), 3 200 ,4,6
PJM West,1/15/01,1/16/01,1/16/01,46.00,42.00,44.21,(0.91), 5 600 ,7,6
PJM West,1/16/01,1/17/01,1/17/01,42.50,42.00,42.40,(1.81), 4 000 ,4,7
PJM West,1/17/01,1/18/01,1/18/01,41.00,39.00,39.56,(2.84), 7 200 ,7,6
PJM West,1/18/01,1/19/01,1/19/01,39.50,39.00,39.25,(0.31), 2 400 ,3,5
PJM West,1/19/01,1/22/01,1/22/01,51.00,50.00,50.43,11.18 , 5 600 ,5,6
PJM West,1/22/01,1/23/01,1/23/01,50.75,50.25,50.50,0.07 , 1 600 ,2,4
PJM West,1/23/01,1/24/01,1/24/01,51.50,49.00,50.08,(0.42), 7 200 ,8,5
PJM West,1/24/01,1/25/01,1/25/01,52.00,50.75,51.42,1.34 , 2 400 ,3,3
PJM West,1/25/01,1/26/01,1/26/01,48.25,46.00,46.75,(4.67), 6 400 ,8,7
PJM West,1/26/01,1/29/01,1/29/01,44.00,43.75,43.96,(2.79), 4 800 ,6,5
PJM West,1/29/01,1/30/01,1/30/01,36.00,35.00,35.57,(8.39), 5 600 ,6,4
PJM West,1/30/01,1/31/01,1/31/01,34.50,33.25,33.73,(1.84), 8 800 ,10,8
PJM West,1/31/01,2/1/01,2/1/01,36.50,34.75,35.75,2.02 , 12 800 ,16,8
PJM West,2/1/01,2/2/01,2/2/01,40.25,39.25,39.96,4.21 , 9 600 ,12,7
PJM West,2/2/01,2/5/01,2/5/01,43.50,42.50,43.04,3.08 , 13 600 ,12,8
PJM West,2/5/01,2/6/01,2/6/01,37.75,36.50,36.94,(6.10), 7 200 ,9,8
PJM West,2/6/01,2/7/01,2/7/01,34.75,33.50,33.89,(3.05), 7 200 ,9,8
PJM West,2/7/01,2/8/01,2/8/01,32.50,32.00,32.32,(1.57), 5 600 ,7,8
PJM West,2/8/01,2/9/01,2/9/01,31.75,29.25,29.46,(2.86), 20 000 ,6,7
PJM West,2/9/01,2/12/01,2/12/01,40.00,36.00,37.54,8.08 , 4 800 ,6,5
PJM West,2/12/01,2/13/01,2/13/01,36.25,35.50,35.75,(1.79), 6 400 ,8,7
PJM West,2/13/01,2/14/01,2/14/01,31.50,30.00,30.83,(4.92), 4 800 ,6,6
PJM West,2/14/01,2/15/01,2/15/01,29.25,28.00,28.83,(2.00), 4 800 ,6,7
PJM West,2/15/01,2/16/01,2/16/01,29.00,28.75,28.83,0.00 , 9 600 ,11,9
PJM West,2/16/01,2/19/01,2/19/01,37.50,36.00,36.75,7.92 , 13 600 ,17,7
PJM West,2/19/01,2/20/01,2/20/01,37.00,36.25,36.62,(0.13), 1 600 ,2,3
PJM West,2/20/01,2/21/01,2/21/01,38.80,38.50,38.62,2.00 , 16 800 ,21,8
PJM West,2/21/01,2/22/01,2/22/01,46.00,44.00,44.85,6.23 , 19 200 ,24,10
PJM West,2/22/01,2/23/01,2/23/01,38.50,37.50,37.98,(6.87), 9 600 ,12,7
PJM West,2/23/01,2/26/01,2/26/01,39.25,37.00,38.38,0.40 , 19 200 ,24,8
PJM West,2/26/01,2/27/01,2/27/01,43.00,40.00,41.89,3.51 , 11 200 ,14,6
PJM West,2/27/01,2/28/01,2/28/01,50.50,46.50,48.58,6.69 , 16 800 ,21,12
PJM West,2/28/01,3/1/01,3/1/01,48.25,45.25,46.25,(2.33), 23 200 ,29,10
PJM West,3/1/01,3/2/01,3/2/01,42.50,36.50,38.97,(7.28), 13 600 ,16,11
PJM West,3/2/01,3/5/01,3/5/01,44.75,43.25,44.02,5.05 , 29 600 ,33,12
PJM West,3/5/01,3/6/01,3/6/01,51.50,50.00,50.71,6.69 , 14 400 ,18,11
PJM West,3/6/01,3/7/01,3/7/01,57.00,52.25,53.52,2.81 , 17 600 ,21,11
PJM West,3/7/01,3/8/01,3/8/01,45.50,44.25,45.03,(8.49), 11 200 ,13,11
PJM West,3/8/01,3/9/01,3/9/01,43.75,41.75,42.38,(2.65), 20 800 ,26,12
PJM West,3/9/01,3/12/01,3/12/01,44.00,41.25,42.16,(0.22), 20 800 ,25,10
PJM West,3/12/01,3/13/01,3/13/01,42.00,40.75,41.51,(0.65), 16 000 ,20,13
PJM West,3/13/01,3/14/01,3/14/01,39.50,38.00,38.52,(2.99), 18 400 ,16,12
PJM West,3/14/01,3/15/01,3/15/01,37.25,36.50,36.98,(1.54), 14 400 ,13,10
PJM West,3/15/01,3/16/01,3/16/01,35.50,33.75,34.32,(2.66), 19 200 ,18,11
PJM West,3/16/01,3/19/01,3/19/01,43.00,41.50,41.99,7.67 , 13 600 ,17,11
PJM West,3/19/01,3/20/01,3/20/01,48.50,47.50,48.03,6.04 , 7 200 ,9,8
PJM West,3/20/01,3/21/01,3/21/01,50.00,46.00,47.69,(0.34), 7 200 ,8,7
PJM West,3/21/01,3/22/01,3/22/01,41.50,40.50,41.00,(6.69), 4 000 ,5,7
PJM West,3/22/01,3/23/01,3/23/01,44.75,44.00,44.25,3.25 , 5 600 ,7,8
PJM West,3/23/01,3/26/01,3/26/01,54.25,51.00,52.54,8.29 , 9 600 ,11,7
PJM West,3/26/01,3/27/01,3/27/01,54.50,52.50,53.46,0.92 , 5 600 ,7,6
PJM West,3/27/01,3/28/01,3/28/01,49.00,48.00,48.44,(5.02), 12 800 ,13,11
PJM West,3/28/01,3/29/01,3/29/01,44.75,43.50,44.09,(4.35), 8 800 ,10,10
PJM West,3/29/01,3/30/01,3/30/01,41.25,40.60,40.99,(3.10), 6 400 ,8,6
PJM West,3/30/01,4/2/01,4/2/01,49.00,46.50,47.07,6.08 , 5 600 ,7,8
PJM West,4/2/01,4/3/01,4/3/01,49.00,45.25,46.00,(1.07), 8 800 ,10,9
PJM West,4/3/01,4/4/01,4/4/01,48.50,47.00,47.70,1.70 , 8 000 ,10,9
PJM West,4/4/01,4/5/01,4/5/01,50.00,49.00,49.17,1.47 , 11 200 ,10,9
PJM West,4/5/01,4/6/01,4/6/01,49.25,48.00,48.43,(0.74), 7 200 ,9,10
PJM West,4/6/01,4/9/01,4/9/01,56.50,54.00,55.10,6.67 , 9 600 ,12,12
PJM West,4/9/01,4/10/01,4/10/01,58.00,54.00,55.65,0.55 , 31 200 ,37,15
PJM West,4/10/01,4/11/01,4/11/01,56.00,53.50,54.75,(0.90), 24 000 ,24,14
PJM West,4/11/01,4/12/01,4/12/01,55.00,48.00,49.89,(4.86), 8 800 ,11,8
PJM West,4/12/01,4/13/01,4/16/01,48.00,44.50,45.54,(4.35), 11 200 ,7,6
PJM West,4/13/01,4/16/01,4/16/01,51.00,50.00,50.20,4.66 , 4 000 ,5,5
PJM West,4/16/01,4/17/01,4/17/01,54.25,53.00,53.80,3.60 , 8 800 ,9,9
PJM West,4/17/01,4/18/01,4/18/01,54.00,52.00,53.47,(0.33), 8 000 ,9,11
PJM West,4/18/01,4/19/01,4/19/01,50.00,48.05,48.76,(4.71), 3 200 ,3,6
PJM West,4/19/01,4/20/01,4/20/01,43.00,41.00,42.27,(6.49), 10 400 ,12,8
PJM West,4/20/01,4/23/01,4/23/01,55.50,54.00,54.56,12.29 , 12 000 ,13,12
PJM West,4/23/01,4/24/01,4/24/01,55.00,52.50,53.04,(1.52), 11 200 ,10,10
PJM West,4/24/01,4/25/01,4/25/01,44.10,42.00,43.12,(9.92), 9 600 ,12,10
PJM West,4/25/01,4/26/01,4/26/01,39.95,39.25,39.47,(3.65), 17 600 ,15,12
PJM West,4/26/01,4/27/01,4/27/01,40.25,39.50,39.57,0.10 , 11 200 ,13,8
PJM West,4/27/01,4/30/01,4/30/01,62.50,59.00,60.44,20.87 , 17 600 ,21,12
PJM West,4/30/01,5/1/01,5/1/01,60.00,52.75,54.55,(5.89), 13 600 ,17,14
PJM West,5/1/01,5/2/01,5/2/01,62.00,59.50,60.36,5.81 , 7 200 ,9,9
PJM West,5/2/01,5/3/01,5/3/01,70.00,65.50,68.19,7.83 , 16 800 ,21,13
PJM West,5/3/01,5/4/01,5/4/01,62.00,59.00,60.09,(8.10), 11 200 ,14,12
PJM West,5/4/01,5/7/01,5/7/01,42.00,40.75,41.46,(18.63), 24 800 ,29,11
PJM West,5/7/01,5/8/01,5/8/01,37.00,32.75,34.54,(6.92), 28 800 ,34,15
PJM West,5/8/01,5/9/01,5/9/01,40.25,38.00,39.04,4.50 , 45 600 ,47,17
PJM West,5/9/01,5/10/01,5/10/01,49.00,46.00,47.65,8.61 , 18 400 ,23,15
PJM West,5/10/01,5/11/01,5/11/01,57.00,53.00,55.49,7.84 , 49 600 ,60,17
PJM West,5/11/01,5/14/01,5/14/01,42.50,37.00,40.24,(15.25), 80 800 ,89,22
PJM West,5/14/01,5/15/01,5/15/01,48.00,35.00,35.89,(4.35), 47 200 ,55,18
PJM West,5/15/01,5/16/01,5/16/01,38.50,37.25,37.91,2.02 , 36 000 ,43,17
PJM West,5/16/01,5/17/01,5/17/01,40.00,37.50,39.27,1.36 , 26 400 ,30,14
PJM West,5/17/01,5/18/01,5/18/01,39.50,37.75,38.90,(0.37), 36 000 ,44,16
PJM West,5/18/01,5/21/01,5/21/01,38.00,36.00,36.66,(2.24), 36 000 ,33,16
PJM West,5/21/01,5/22/01,5/22/01,36.00,33.00,33.88,(2.78), 35 200 ,40,18
PJM West,5/22/01,5/23/01,5/23/01,33.50,32.50,32.99,(0.89), 20 800 ,25,16
PJM West,5/23/01,5/24/01,5/24/01,31.75,31.25,31.58,(1.41), 27 200 ,17,15
PJM West,5/24/01,5/25/01,5/25/01,32.50,30.70,31.07,(0.51), 24 000 ,17,13
PJM West,5/25/01,5/29/01,5/29/01,33.25,30.25,31.15,0.08 , 39 200 ,42,16
PJM West,5/29/01,5/30/01,5/30/01,30.00,26.50,27.55,(3.60), 41 600 ,45,19
PJM West,5/30/01,5/31/01,5/31/01,25.00,23.75,24.08,(3.47), 30 400 ,24,15
PJM West,5/31/01,6/1/01,6/1/01,24.25,23.25,23.83,(0.25), 26 400 ,29,15
PJM West,6/1/01,6/4/01,6/4/01,26.70,25.00,25.76,1.93 , 25 600 ,31,15
PJM West,6/4/01,6/5/01,6/5/01,26.75,25.00,26.27,0.51 , 26 400 ,27,16
PJM West,6/5/01,6/6/01,6/6/01,28.50,27.25,27.63,1.36 , 31 200 ,36,16
PJM West,6/6/01,6/7/01,6/7/01,29.75,28.25,29.11,1.48 , 29 600 ,29,17
PJM West,6/7/01,6/8/01,6/8/01,31.00,29.75,30.37,1.26 , 49 600 ,61,22
PJM West,6/8/01,6/11/01,6/11/01,42.00,37.75,39.33,8.96 , 40 000 ,44,18
PJM West,6/11/01,6/12/01,6/12/01,57.00,47.75,50.22,10.89 , 28 800 ,35,19
PJM West,6/12/01,6/13/01,6/13/01,65.00,58.00,61.40,11.18 , 30 400 ,38,19
PJM West,6/13/01,6/14/01,6/14/01,57.00,53.75,54.96,(6.44), 36 000 ,43,16
PJM West,6/14/01,6/15/01,6/15/01,46.25,43.50,44.86,(10.10), 24 800 ,27,18
PJM West,6/15/01,6/18/01,6/18/01,45.00,43.25,44.03,(0.83), 51 200 ,57,20
PJM West,6/18/01,6/19/01,6/19/01,53.00,49.95,51.23,7.20 , 44 800 ,53,17
PJM West,6/19/01,6/20/01,6/20/01,50.25,48.50,48.96,(2.27), 26 400 ,25,20
PJM West,6/20/01,6/21/01,6/21/01,39.00,35.00,36.96,(12.00), 26 400 ,30,19
PJM West,6/21/01,6/22/01,6/22/01,32.25,31.50,31.82,(5.14), 36 000 ,36,15
PJM West,6/22/01,6/25/01,6/25/01,39.75,37.00,38.48,6.66 , 49 600 ,59,18
