Price Hub,Trade Date,Delivery Start Date,Delivery End Date, High Price $/MWh , Low Price $/MWh , Wtd Avg Price $/MWh ,Change, Daily Volume MWh ,Number of Trades,Number of Counterparties
Palo Verde,5-Jan-01,8-Jan-01,8-Jan-01,127,124,125.5,,800,2,2
Palo Verde,8-Jan-01,9-Jan-01,9-Jan-01,135.5,135.5,135.5,10.00 ,400,1,2
Palo Verde,12-Jan-01,15-Jan-01,16-Jan-01,175,175,175,39.50 ,800,1,2
Palo Verde,19-Jan-01,22-Jan-01,22-Jan-01,325,325,325,150.00 ,400,1,2
Palo Verde,26-Jan-01,29-Jan-01,29-Jan-01,245,245,245,(80.00),400,1,2
Palo Verde,12-Feb-01,13-Feb-01,13-Feb-01,220,205,212.5,(32.50),800,2,3
Palo Verde,28-Feb-01,1-Mar-01,1-Mar-01,268,268,268,55.50 ,400,1,2
Palo Verde,1-Mar-01,2-Mar-01,3-Mar-01,245,240,242.5,(25.50),1 600,2,3
Palo Verde,29-Mar-01,30-Mar-01,31-Mar-01,156,152,154,(88.50),1 600,2,4
Palo Verde,19-Apr-01,20-Apr-01,21-Apr-01,150,150,150,(4.00),800,1,2
Palo Verde,30-Apr-01,1-May-01,1-May-01,310,295,302.5,152.50 ,800,2,3
Palo Verde,3-May-01,4-May-01,5-May-01,145,140,142.5,(160.00),1 600,2,3
Palo Verde,4-May-01,7-May-01,7-May-01,275,243,255,112.50 ,1 200,3,4
Palo Verde,7-May-01,8-May-01,8-May-01,315,265,297,42.00 ,2 000,5,4
Palo Verde,8-May-01,9-May-01,9-May-01,508,395,467.67,170.67 ,1 200,3,3
Palo Verde,9-May-01,10-May-01,10-May-01,550,525,537.5,69.83 ,1 600,4,4
Palo Verde,10-May-01,11-May-01,12-May-01,400,370,385,(152.50),1 600,2,3
Palo Verde,11-May-01,14-May-01,14-May-01,450,375,415,30.00 ,2 800,7,5
Palo Verde,14-May-01,15-May-01,15-May-01,225,210,219.17,(195.83),2 400,6,5
Palo Verde,15-May-01,16-May-01,16-May-01,225,215,220,0.83 ,800,2,2
Palo Verde,16-May-01,17-May-01,17-May-01,185,150,167.5,(52.50),800,2,3
Palo Verde,17-May-01,18-May-01,19-May-01,150,125,141,(26.50),3 200,4,3
Palo Verde,18-May-01,21-May-01,21-May-01,365,300,327.5,186.50 ,3 200,8,7
Palo Verde,21-May-01,22-May-01,22-May-01,420,325,399.44,71.94 ,3 600,9,7
Palo Verde,22-May-01,23-May-01,24-May-01,400,380,389.5,(9.94),4 800,6,6
Palo Verde,23-May-01,25-May-01,26-May-01,280,265,272.5,(117.00),3 200,4,5
Palo Verde,25-May-01,29-May-01,29-May-01,185,142,170,(102.50),2 000,5,6
Palo Verde,29-May-01,30-May-01,30-May-01,145,120,130,(40.00),1 200,3,4
Palo Verde,30-May-01,31-May-01,31-May-01,185,145,160,30.00 ,3 200,8,5
Palo Verde,31-May-01,1-Jun-01,2-Jun-01,190,158,171.63,11.63 ,6 400,8,5
Palo Verde,1-Jun-01,4-Jun-01,4-Jun-01,200,185,189.29,17.66 ,2 800,7,6
Palo Verde,4-Jun-01,5-Jun-01,5-Jun-01,130,130,130,(59.29),400,1,2
Palo Verde,5-Jun-01,6-Jun-01,6-Jun-01,100,92,97.33,(32.67),1 200,3,3
Palo Verde,6-Jun-01,7-Jun-01,7-Jun-01,80,79,79.5,(17.83),800,2,4
Palo Verde,7-Jun-01,8-Jun-01,9-Jun-01,54,49,51.5,(28.00),1 600,2,4
Palo Verde,8-Jun-01,11-Jun-01,11-Jun-01,75,75,75,23.50 ,400,1,2
Palo Verde,11-Jun-01,12-Jun-01,12-Jun-01,68,62,64.8,(10.20),2 000,5,4
Palo Verde,12-Jun-01,13-Jun-01,13-Jun-01,67,58.5,63.04,(1.76),5 200,13,7
Palo Verde,13-Jun-01,14-Jun-01,14-Jun-01,70,60,65.83,2.79 ,2 400,6,4
Palo Verde,14-Jun-01,15-Jun-01,16-Jun-01,46,43,44.5,(21.33),1 600,2,3
Palo Verde,15-Jun-01,18-Jun-01,18-Jun-01,72,65,69.5,25.00 ,2 400,6,5
Palo Verde,18-Jun-01,19-Jun-01,19-Jun-01,130,130,130,60.50 ,400,1,2
Palo Verde,20-Jun-01,21-Jun-01,21-Jun-01,90,90,90,(40.00),400,1,2
Palo Verde,21-Jun-01,22-Jun-01,23-Jun-01,88,77,82.5,(7.50),1 600,2,3
Palo Verde,22-Jun-01,25-Jun-01,25-Jun-01,84,83,83.33,0.83 ,1 200,3,5
Palo Verde,25-Jun-01,26-Jun-01,26-Jun-01,65,50,55.36,(27.97),4 400,11,6
Palo Verde,26-Jun-01,27-Jun-01,27-Jun-01,50,48,49.2,(6.16),2 000,5,6
Palo Verde,27-Jun-01,28-Jun-01,28-Jun-01,58,54,55.8,6.60 ,2 000,5,5
Palo Verde,28-Jun-01,29-Jun-01,30-Jun-01,58,48,52,(3.80),8 000,10,4
Palo Verde,29-Jun-01,2-Jul-01,2-Jul-01,95,90,92,40.00 ,1 200,3,3
Palo Verde,2-Jul-01,3-Jul-01,3-Jul-01,92,91.5,91.75,(0.25),800,2,3
Palo Verde,5-Jul-01,6-Jul-01,7-Jul-01,91.75,91.75,91.75,0.00 ,800,1,2
Palo Verde,6-Jul-01,9-Jul-01,9-Jul-01,88,81,85.67,(6.08),1 200,3,2
Palo Verde,9-Jul-01,10-Jul-01,10-Jul-01,78,75,76.5,(9.17),1 600,4,4
Palo Verde,10-Jul-01,11-Jul-01,11-Jul-01,72,71,71.5,(5.00),800,2,4
Palo Verde,11-Jul-01,12-Jul-01,12-Jul-01,61,56,58.5,(13.00),800,2,4
Palo Verde,12-Jul-01,13-Jul-01,14-Jul-01,49,49,49,(9.50),1 600,2,2
Palo Verde,13-Jul-01,16-Jul-01,16-Jul-01,56,54,55.39,6.39 ,2 800,7,6
Palo Verde,16-Jul-01,17-Jul-01,17-Jul-01,59.5,50,54.75,(0.64),2 400,6,5
Palo Verde,17-Jul-01,18-Jul-01,18-Jul-01,47.5,43,46.28,(8.47),3 200,8,6
Palo Verde,18-Jul-01,19-Jul-01,19-Jul-01,43.5,40.5,42.09,(4.20),5 600,14,6
Palo Verde,19-Jul-01,20-Jul-01,21-Jul-01,40.5,39,39.6,(2.49),4 000,5,7
Palo Verde,20-Jul-01,23-Jul-01,23-Jul-01,58,58,58,18.40 ,400,1,2
Palo Verde,23-Jul-01,24-Jul-01,24-Jul-01,74,71,72.33,14.33 ,1 200,3,3
Palo Verde,24-Jul-01,25-Jul-01,25-Jul-01,67,61,63.28,(9.05),3 200,7,6
Palo Verde,25-Jul-01,26-Jul-01,26-Jul-01,67,64,65.2,1.92 ,2 000,5,4
Palo Verde,26-Jul-01,27-Jul-01,28-Jul-01,68,62,64.88,(0.33),6 400,8,6
Palo Verde,27-Jul-01,30-Jul-01,30-Jul-01,67.75,60,65.68,0.81 ,4 400,11,7
Palo Verde,30-Jul-01,31-Jul-01,31-Jul-01,60,52,55.33,(10.35),2 400,6,6
