Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh,Low Price $/MWh,Wtd Avg Price $/MWh,Change, Daily Volume MWh ,Number of Trades,Number of Companies
SP 15,1/8/01,1/9/01,1/9/01,152.00,152.00,152.00,, 800 ,2,3
SP 15,1/9/01,1/10/01,1/10/01,170.00,166.00,168.00,16.00 , 1 600 ,4,3
SP 15,1/11/01,1/13/01,1/13/01,170.00,168.00,169.33,1.33 , 1 200 ,3,3
SP 15,1/16/01,1/17/01,1/17/01,235.00,220.00,230.00,60.67 , 1 200 ,3,3
SP 15,1/17/01,1/18/01,1/18/01,325.00,250.00,286.67,56.67 , 1 200 ,3,4
SP 15,1/18/01,1/19/01,1/20/01,495.00,325.00,423.75,137.08 , 3 200 ,4,3
SP 15,1/22/01,1/23/01,1/23/01,275.00,210.00,237.50,(186.25), 2 400 ,6,5
SP 15,1/23/01,1/24/01,1/24/01,225.00,225.00,225.00,(12.50), 400 ,1,2
SP 15,1/24/01,1/25/01,1/25/01,210.00,205.00,207.50,(17.50), 800 ,2,3
SP 15,1/25/01,1/26/01,1/27/01,215.00,215.00,215.00,7.50 , 800 ,1,2
SP 15,1/26/01,1/29/01,1/29/01,230.00,220.00,226.50,11.50 , 2 000 ,5,4
SP 15,1/29/01,1/30/01,1/30/01,223.00,222.00,222.50,(4.00), 800 ,2,3
SP 15,1/30/01,1/31/01,1/31/01,243.50,237.50,240.33,17.83 , 1 200 ,3,4
SP 15,2/1/01,2/2/01,2/3/01,190.00,180.00,185.00,(55.33), 1 600 ,2,3
SP 15,2/6/01,2/7/01,2/7/01,168.00,168.00,168.00,(17.00), 400 ,1,2
SP 15,2/7/01,2/8/01,2/8/01,210.00,170.00,190.00,22.00 , 1 200 ,3,3
SP 15,2/8/01,2/9/01,2/10/01,158.00,158.00,158.00,(32.00), 800 ,1,2
SP 15,2/9/01,2/12/01,2/12/01,205.00,200.00,202.50,44.50 , 800 ,2,3
SP 15,2/12/01,2/13/01,2/13/01,230.00,205.00,212.50,10.00 , 2 400 ,6,4
SP 15,2/13/01,2/14/01,2/14/01,275.00,250.00,258.33,45.83 , 1 200 ,3,5
SP 15,2/14/01,2/15/01,2/16/01,485.00,485.00,485.00,226.67 , 800 ,1,2
SP 15,2/21/01,2/22/01,2/22/01,230.00,225.00,228.33,(256.67), 1 200 ,3,3
SP 15,2/26/01,2/27/01,2/27/01,183.00,175.00,180.60,(47.73), 2 000 ,5,6
SP 15,2/27/01,2/28/01,2/28/01,175.00,175.00,175.00,(5.60), 400 ,1,2
SP 15,2/28/01,3/1/01,3/1/01,265.00,255.00,260.00,85.00 , 2 000 ,5,4
SP 15,3/1/01,3/2/01,3/3/01,245.00,243.00,244.00,(16.00), 1 600 ,2,3
