Price Hub,Trade Date,Delivery Start Date,Delivery End Date, High Price $/MWh , Low Price $/MWh , Wtd Avg Price $/MWh , Change , Daily Volume MWh ,Number of Trades,Number of Companies
SP-15 Gen DA LMP Peak,04/01/09,04/02/09,04/02/09, 30.85 , 30.00 , 30.44 , na ,69 200,129,16
SP-15 Gen DA LMP Peak,04/02/09,04/03/09,04/04/09, 28.70 , 27.50 , 28.03 , (2.41),119 200,103,17
SP-15 Gen DA LMP Peak,04/03/09,04/06/09,04/06/09, 31.50 , 30.25 , 30.50 , 2.47 ,43 200,89,17
SP-15 Gen DA LMP Peak,04/06/09,04/07/09,04/07/09, 33.30 , 32.45 , 32.83 , 2.33 ,40 800,80,20
SP-15 Gen DA LMP Peak,04/07/09,04/08/09,04/09/09, 29.00 , 28.00 , 28.69 , (4.14),116 000,117,22
SP-15 Gen DA LMP Peak,04/08/09,04/10/09,04/11/09, 27.25 , 26.55 , 26.88 , (1.81),96 800,110,21
SP-15 Gen DA LMP Peak,04/09/09,04/13/09,04/13/09, 28.50 , 27.50 , 28.01 , 1.13 ,58 000,119,19
SP-15 Gen DA LMP Peak,04/13/09,04/14/09,04/14/09, 26.65 , 25.00 , 26.27 , (1.74),26 400,51,17
SP-15 Gen DA LMP Peak,04/14/09,04/15/09,04/15/09, 28.25 , 27.70 , 27.97 , 1.70 ,55 600,101,20
SP-15 Gen DA LMP Peak,04/15/09,04/16/09,04/16/09, 29.60 , 28.85 , 29.33 , 1.36 ,38 800,80,16
SP-15 Gen DA LMP Peak,04/16/09,04/17/09,04/18/09, 26.50 , 25.75 , 26.05 , (3.28),113 600,94,18
SP-15 Gen DA LMP Peak,04/17/09,04/20/09,04/20/09, 37.00 , 34.25 , 34.81 , 8.76 ,63 600,131,22
SP-15 Gen DA LMP Peak,04/20/09,04/21/09,04/21/09, 33.50 , 32.75 , 33.16 , (1.65),49 200,79,17
SP-15 Gen DA LMP Peak,04/21/09,04/22/09,04/22/09, 30.25 , 29.75 , 29.90 , (3.26),28 000,59,13
SP-15 Gen DA LMP Peak,04/22/09,04/23/09,04/23/09, 27.85 , 27.25 , 27.51 , (2.39),34 800,65,16
SP-15 Gen DA LMP Peak,04/23/09,04/24/09,04/25/09, 26.10 , 25.00 , 25.59 , (1.92),61 600,68,16
SP-15 Gen DA LMP Peak,04/24/09,04/27/09,04/27/09, 28.45 , 27.00 , 27.56 , 1.97 ,36 800,68,14
SP-15 Gen DA LMP Peak,04/27/09,04/28/09,04/28/09, 26.00 , 24.50 , 25.60 , (1.96),25 600,48,17
SP-15 Gen DA LMP Peak,04/28/09,04/29/09,04/29/09, 26.50 , 25.25 , 26.26 , 0.66 ,14 000,29,13
SP-15 Gen DA LMP Peak,04/29/09,04/30/09,04/30/09, 28.00 , 26.50 , 27.55 , 1.29 ,32 000,60,15
SP-15 Gen DA LMP Peak,04/30/09,05/01/09,05/02/09, 27.50 , 26.25 , 27.04 , (0.51),97 600,91,16
SP-15 Gen DA LMP Peak,05/01/09,05/04/09,05/04/09, 28.00 , 27.10 , 27.52 , 0.48 ,42 000,83,18
SP-15 Gen DA LMP Peak,05/04/09,05/05/09,05/05/09, 30.10 , 29.00 , 29.73 , 2.21 ,49 600,74,20
SP-15 Gen DA LMP Peak,05/05/09,05/06/09,05/06/09, 33.25 , 31.75 , 32.55 , 2.82 ,87 600,128,22
SP-15 Gen DA LMP Peak,05/06/09,05/07/09,05/07/09, 33.50 , 32.55 , 32.84 , 0.29 ,62 400,95,20
SP-15 Gen DA LMP Peak,05/07/09,05/08/09,05/09/09, 32.50 , 31.00 , 31.65 , (1.19),208 000,198,23
SP-15 Gen DA LMP Peak,05/08/09,05/11/09,05/11/09, 40.25 , 38.00 , 39.61 , 7.96 ,50 800,117,19
SP-15 Gen DA LMP Peak,05/11/09,05/12/09,05/12/09, 41.50 , 40.00 , 40.89 , 1.28 ,41 600,89,15
SP-15 Gen DA LMP Peak,05/12/09,05/13/09,05/13/09, 42.00 , 40.50 , 41.02 , 0.13 ,57 600,108,19
SP-15 Gen DA LMP Peak,05/13/09,05/14/09,05/14/09, 40.00 , 38.50 , 39.25 , (1.77),55 200,101,20
