Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh, Low Price $/MWh , Wtd Avg Price $/MWh ,Change, Daily Volume MWh ,Number of Trades,Number of Counterparties
ERCOT North 345KV Peak,1/2/2015,1/5/2015,1/5/2015,40,39,39.5,10.58,1 600,2,3
ERCOT North 345KV Peak,1/5/2015,1/6/2015,1/6/2015,29.5,28.5,29.07,-10.43,12 000,15,12
ERCOT North 345KV Peak,1/7/2015,1/8/2015,1/8/2015,43,41.5,42.25,13.18,6 400,8,9
ERCOT North 345KV Peak,1/8/2015,1/9/2015,1/9/2015,31,29.5,29.86,-12.39,17 600,20,11
ERCOT North 345KV Peak,1/9/2015,1/12/2015,1/12/2015,28.75,27.25,27.7,-2.16,4 000,5,7
ERCOT North 345KV Peak,1/12/2015,1/13/2015,1/13/2015,29,28,28.44,0.74,6 400,8,8
ERCOT North 345KV Peak,1/13/2015,1/14/2015,1/14/2015,31,30.5,30.65,2.21,8 000,10,8
ERCOT North 345KV Peak,1/14/2015,1/15/2015,1/15/2015,30,29.5,29.79,-0.86,12 000,12,10
ERCOT North 345KV Peak,1/15/2015,1/16/2015,1/16/2015,29.5,28,28.78,-1.01,25 600,27,12
ERCOT North 345KV Peak,1/16/2015,1/19/2015,1/19/2015,26.25,26.25,26.25,-2.53,3 200,4,2
ERCOT North 345KV Peak,1/21/2015,1/22/2015,1/22/2015,26.5,25,25.72,-0.53,6 400,8,9
ERCOT North 345KV Peak,1/22/2015,1/23/2015,1/23/2015,28,27.5,27.67,1.95,2 400,2,4
ERCOT North 345KV Peak,1/26/2015,1/27/2015,1/27/2015,24,23.75,23.8,-3.87,8 000,10,7
ERCOT North 345KV Peak,1/27/2015,1/28/2015,1/28/2015,23.5,22.75,23,-0.8,13 600,17,9
ERCOT North 345KV Peak,1/28/2015,1/29/2015,1/29/2015,22.75,22.25,22.54,-0.46,21 600,23,15
ERCOT North 345KV Peak,1/29/2015,1/30/2015,1/30/2015,24.25,24,24.16,1.62,11 200,13,10
ERCOT North 345KV Peak,1/30/2015,2/2/2015,2/2/2015,27,26.5,26.67,2.51,2 400,3,4
ERCOT North 345KV Peak,2/2/2015,2/3/2015,2/3/2015,25.25,24.75,24.9,-1.77,9 600,12,10
ERCOT North 345KV Peak,2/3/2015,2/4/2015,2/4/2015,21.5,21,21.19,-3.71,24 000,27,14
ERCOT North 345KV Peak,2/4/2015,2/5/2015,2/5/2015,25.25,25,25.08,3.89,4 800,6,7
ERCOT North 345KV Peak,2/5/2015,2/6/2015,2/6/2015,22.75,22.5,22.63,-2.45,1 600,2,4
ERCOT North 345KV Peak,2/6/2015,2/9/2015,2/9/2015,22.25,22,22.08,-0.55,2 400,3,4
ERCOT North 345KV Peak,2/9/2015,2/10/2015,2/10/2015,21,21,21,-1.08,7 200,8,8
ERCOT North 345KV Peak,2/10/2015,2/11/2015,2/11/2015,21.25,20.5,21.1,0.1,12 000,14,8
ERCOT North 345KV Peak,2/11/2015,2/12/2015,2/12/2015,25,24.5,24.88,3.78,10 400,11,9
ERCOT North 345KV Peak,2/12/2015,2/13/2015,2/13/2015,26,26,26,1.12,8 000,10,9
ERCOT North 345KV Peak,2/13/2015,2/16/2015,2/16/2015,25.5,24,24.8,-1.2,4 000,5,7
ERCOT North 345KV Peak,2/17/2015,2/18/2015,2/18/2015,27,26.75,26.81,2.01,7 200,9,5
ERCOT North 345KV Peak,2/18/2015,2/19/2015,2/19/2015,24,23.5,23.56,-3.25,6 400,8,3
ERCOT North 345KV Peak,2/19/2015,2/20/2015,2/20/2015,21.75,21.25,21.49,-2.07,16 000,20,9
ERCOT North 345KV Peak,2/20/2015,2/23/2015,2/23/2015,37.5,34.5,36.63,15.14,12 800,16,9
ERCOT North 345KV Peak,2/23/2015,2/24/2015,2/24/2015,46.5,43.75,45.1,8.47,8 800,11,10
