Date	ActualValue	ForecastValue	PreviousValue
2020.05.01	32.6	32.9	32.9
2020.04.23	32.9	50.7	47.8
2020.04.01	47.8	48	48
2020.03.24	48	51.8	51.7
2020.03.02	51.7	51.9	51.9
2020.02.21	51.9	48.1	50
2020.02.03	50	49.8	49.8
2020.01.24	49.8	47.6	47.5
2020.01.02	47.5	47.4	47.4
2019.12.16	47.4	50.7	48.9
2019.12.02	48.9	48.3	48.3
2019.11.22	48.3	49	49.6
2019.11.01	49.6	47.8	48.3
2019.10.01	48.3	47.9	47.4
2019.09.02	47.4	48.8	48
2019.08.01	48	50.7	48
2019.07.01	48	52.7	49.4
2019.06.03	49.4	53.4	53.1
2019.05.01	53.1	53.2	55.1
2019.04.01	55.1	53	52
2019.03.01	52	53.2	52.8
2019.02.01	52.8	52.7	54.2
2019.01.02	54.2	52.6	53.1
2018.12.03	53.1	52.8	51.1
2018.11.01	51.1	53.6	53.8
2018.10.01	53.8	53.2	52.8
2018.09.03	52.8	55	54
2018.08.01	54	55.1	54.4
2018.07.02	54.4	54	54.4
2018.06.01	54.4	53.3	53.9
2018.05.01	53.9	55.3	55.1
2018.04.03	55.1	55.9	55.2
2018.03.01	55.2	56.7	55.3
2018.02.01	55.3	57.3	56.3
2018.01.02	56.3	57.3	58.2
2017.12.01	58.2	56.1	56.3
2017.11.01	56.3	54.9	55.9
2017.10.02	55.9	56	56.9
2017.09.01	56.9	54.7	55.1
2017.08.01	55.1	55.5	54.3
2017.07.03	54.3		56.3
2017.06.01	56.7		57.3
2017.05.02	57.3		54.2
2017.04.03	54.2		54.5
2017.03.01	54.6		55.9
2017.02.01	55.9		56.1
2017.01.03	56.1		53.6
2016.12.01	53.4		54.2
2016.11.01	54.3		55.5
2016.10.03	55.4		53.3
2016.09.01	53.3		48.3
2016.08.01	48.2		52.1
2016.07.01	52.1		50.1
2016.06.01	50.1		49.2
2016.05.03	49.2		51
2016.04.01	51		50.8
2016.03.01	50.8		52.9
2016.02.01	52.9		52.1
2016.01.04	51.9		52.7
2015.12.01	52.7		55.2
2015.11.02	55.5		51.5
2015.10.01	51.5		51.6
2015.09.01	51.5		51.9
2015.08.03	51.9		51.4
2015.07.01	51.4		51.9
2015.06.01	52		51.8
2015.05.01	51.9		54.4
2015.04.01	54.4		54.1
2015.03.02	54.1		53
2015.02.02	53.1		52.5
2015.01.02	52.7		53.5
2014.12.01	53.3		53.2
2014.11.03	53.3		51.6
2014.10.01	51.5		52.5
2014.09.01	52.2		55.4
2014.08.01	54.8		57.5
2014.07.01	57.5		57
2014.06.02	57		57.3
2014.05.01	57.3		55.3
2014.04.01	55.8		56.9
2014.03.03	56.2		56.7
2014.02.03	56.7		57.3
2014.01.02	57.2		58.4
2013.12.02	58.1		56
2013.11.01	56.5		56.7
2013.10.01	56.3		57.2
2013.09.02	57.2		54.6
2013.08.01	54.8		52.5
2013.07.01	52.5		51.3
2013.06.03	51.5		49.8
2013.05.01	50.2		48.3
2013.04.02	48.6		47.9
2013.03.01	47.9		50.8
2013.02.01	50.5		51.4
2013.01.02	51.2		49.1
2012.12.03	49.2		47.5
2012.11.01	47.3		48.4
2012.10.01	48.1		49.5
2012.09.03	49.5		45.4
2012.08.01	45.2		48.6
2012.07.02	48.4		45.9
2012.06.01	45.9		50.5
2012.05.01	50.2		52.1
2012.04.02	51.9		51.2
2012.03.01	51.5		52.1
2012.02.01	52		49.6
2012.01.03	49.7		47.6
2011.12.01	47.7		47.4
2011.11.01	47.8		51.1
2011.10.03	50.8		49
2011.09.01	49.4		49.1
2011.08.01	49.4		51.3
2011.07.01	51.4		52.1
2011.06.01	52		54.6
2011.05.03	54.4		57.1
2011.04.01	56.7		61.5
2011.03.01	60.9		62
2011.02.01	61.5		58.7
2011.01.04	58.7		58
2010.12.01	57.5		54.9
2010.11.01	55.4		53.4
2010.10.01	53.4		54.3
2010.09.01	53.7		57.3
2010.08.02	56.9		57.5
2010.07.01	57.5		58
2010.06.01	58		58
2010.05.04	58		57.2
2010.04.01	57.2		56.6
2010.03.01	56.6		56.7
2010.02.01	56.6		51.8
2010.01.04	54.1		54.6
2009.12.01	54.6		53.7
2009.11.02	53.4		49.5
2009.10.01	49.5		49.7
2009.09.01	49.7		50.8
2009.08.03	50.2		47
2009.07.01	47		45.4
2009.06.01	45.4		42.9
2009.05.01	43.1		39.1
2009.04.01	39.5		34.7
2009.03.02	34.7		35.8
2009.02.02	35.8		34.9
2009.01.02	34.9		34.4
2008.12.01	34.4		41.5
2008.11.03	41.5		41
2008.10.01	41.2		45.9
2008.09.01	45.9		44.3
2008.08.01	44.1		45.8
2008.07.01	45.8		50
2008.06.02	50		51
2008.05.01	50.8		51.3
2008.04.01	51.3		51.3
2008.03.03	51.3		50.6
2008.02.01	50.7		52.9
2008.01.02	52.4		54.4
2007.12.03	54.3		52.9
2007.11.01	52.8		55.1
2007.10.01	54.7		56.3
2007.09.03	56.1		55.7
2007.08.01	55.9		54.3
2007.07.02	54.7		54.9
2007.06.01	54.7		53.9
2007.05.01	54.1		54.4
2007.04.02	54.2		55.4
2007.03.01	55.4		52.8
