"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,169,"NOR","Norway",1,"Ãstfold",1,"Aremark","Kommuner","Municipality",NA,NA
2,169,"NOR","Norway",1,"Ãstfold",2,"Askim","Kommuner","Municipality",NA,NA
3,169,"NOR","Norway",1,"Ãstfold",3,"Borge","Kommuner","Municipality",NA,NA
4,169,"NOR","Norway",1,"Ãstfold",4,"Eidsberg","Kommuner","Municipality",NA,NA
5,169,"NOR","Norway",1,"Ãstfold",5,"Fredrikstad","Kommuner","Municipality",NA,NA
6,169,"NOR","Norway",1,"Ãstfold",6,"Halden","Kommuner","Municipality",NA,NA
7,169,"NOR","Norway",1,"Ãstfold",7,"Hobøl","Kommuner","Municipality",NA,NA
8,169,"NOR","Norway",1,"Ãstfold",8,"Hvaler","Kommuner","Municipality",NA,NA
9,169,"NOR","Norway",1,"Ãstfold",9,"Kraakeroey","Kommuner","Municipality",NA,NA
10,169,"NOR","Norway",1,"Ãstfold",10,"Marker","Kommuner","Municipality",NA,NA
11,169,"NOR","Norway",1,"Ãstfold",11,"Moss","Kommuner","Municipality",NA,NA
12,169,"NOR","Norway",1,"Ãstfold",12,"Onsoey","Kommuner","Municipality",NA,NA
13,169,"NOR","Norway",1,"Ãstfold",13,"Rømskog","Kommuner","Municipality",NA,NA
14,169,"NOR","Norway",1,"Ãstfold",14,"Råde","Kommuner","Municipality",NA,NA
15,169,"NOR","Norway",1,"Ãstfold",15,"Rakkestad","Kommuner","Municipality",NA,NA
16,169,"NOR","Norway",1,"Ãstfold",16,"Rolvsoey","Kommuner","Municipality",NA,NA
17,169,"NOR","Norway",1,"Ãstfold",17,"Rygge","Kommuner","Municipality",NA,NA
18,169,"NOR","Norway",1,"Ãstfold",18,"Sarpsborg","Kommuner","Municipality",NA,NA
19,169,"NOR","Norway",1,"Ãstfold",19,"Skiptvet","Kommuner","Municipality",NA,"Skiptvedt"
20,169,"NOR","Norway",1,"Ãstfold",20,"Spydeberg","Kommuner","Municipality",NA,NA
21,169,"NOR","Norway",1,"Ãstfold",21,"Trøgstad","Kommuner","Municipality",NA,NA
22,169,"NOR","Norway",1,"Ãstfold",22,"Våler","Kommuner","Municipality",NA,NA
23,169,"NOR","Norway",2,"Akershus",23,"Ås","Kommuner","Municipality",NA,NA
24,169,"NOR","Norway",2,"Akershus",24,"Asker","Kommuner","Municipality",NA,NA
25,169,"NOR","Norway",2,"Akershus",25,"Aurskog-Høland","Kommuner","Municipality",NA,NA
26,169,"NOR","Norway",2,"Akershus",26,"Bærum","Kommuner","Municipality",NA,NA
27,169,"NOR","Norway",2,"Akershus",27,"Eidsvoll","Kommuner","Municipality",NA,NA
28,169,"NOR","Norway",2,"Akershus",28,"Enebakk","Kommuner","Municipality",NA,NA
29,169,"NOR","Norway",2,"Akershus",29,"Fet","Kommuner","Municipality",NA,NA
30,169,"NOR","Norway",2,"Akershus",30,"Frogn","Kommuner","Municipality",NA,NA
31,169,"NOR","Norway",2,"Akershus",31,"Gjerdrum","Kommuner","Municipality",NA,NA
32,169,"NOR","Norway",2,"Akershus",32,"Hurdal","Kommuner","Municipality",NA,NA
33,169,"NOR","Norway",2,"Akershus",33,"Lørenskog","Kommuner","Municipality",NA,NA
34,169,"NOR","Norway",2,"Akershus",34,"Nannestad","Kommuner","Municipality",NA,NA
35,169,"NOR","Norway",2,"Akershus",35,"Nesodden","Kommuner","Municipality",NA,NA
36,169,"NOR","Norway",2,"Akershus",36,"Nittedal","Kommuner","Municipality",NA,NA
37,169,"NOR","Norway",2,"Akershus",37,"Oppegård","Kommuner","Municipality",NA,NA
38,169,"NOR","Norway",2,"Akershus",38,"Rælingen","Kommuner","Municipality",NA,NA
39,169,"NOR","Norway",2,"Akershus",39,"Sørum","Kommuner","Municipality",NA,NA
40,169,"NOR","Norway",2,"Akershus",40,"Skedsmo","Kommuner","Municipality",NA,NA
41,169,"NOR","Norway",2,"Akershus",41,"Ski","Kommuner","Municipality",NA,NA
42,169,"NOR","Norway",2,"Akershus",42,"Ullensaker","Kommuner","Municipality",NA,NA
43,169,"NOR","Norway",2,"Akershus",43,"Vestby","Kommuner","Municipality",NA,NA
44,169,"NOR","Norway",3,"Aust-Agder",44,"Åmli","Kommuner","Municipality",NA,NA
45,169,"NOR","Norway",3,"Aust-Agder",45,"Arendal","Kommuner","Municipality",NA,NA
46,169,"NOR","Norway",3,"Aust-Agder",46,"Birkenes","Kommuner","Municipality",NA,NA
47,169,"NOR","Norway",3,"Aust-Agder",47,"Bygland","Kommuner","Municipality",NA,NA
48,169,"NOR","Norway",3,"Aust-Agder",48,"Bykle","Kommuner","Municipality",NA,NA
49,169,"NOR","Norway",3,"Aust-Agder",49,"Evje og Hornnes","Kommuner","Municipality",NA,NA
50,169,"NOR","Norway",3,"Aust-Agder",50,"Froland","Kommuner","Municipality",NA,NA
51,169,"NOR","Norway",3,"Aust-Agder",51,"Gjerstad","Kommuner","Municipality",NA,NA
52,169,"NOR","Norway",3,"Aust-Agder",52,"Grimstad","Kommuner","Municipality",NA,NA
53,169,"NOR","Norway",3,"Aust-Agder",53,"Iveland","Kommuner","Municipality",NA,NA
54,169,"NOR","Norway",3,"Aust-Agder",54,"Lillesand","Kommuner","Municipality",NA,NA
55,169,"NOR","Norway",3,"Aust-Agder",55,"Risør","Kommuner","Municipality",NA,NA
56,169,"NOR","Norway",3,"Aust-Agder",56,"Tvedestrand","Kommuner","Municipality",NA,NA
57,169,"NOR","Norway",3,"Aust-Agder",57,"Valle","Kommuner","Municipality",NA,NA
58,169,"NOR","Norway",3,"Aust-Agder",58,"Vegårshei","Kommuner","Municipality",NA,"Vegårshei|Vegårdshei"
59,169,"NOR","Norway",4,"Buskerud",59,"Øvre Eiker","Kommuner","Municipality",NA,NA
60,169,"NOR","Norway",4,"Buskerud",60,"Ål","Kommuner","Municipality",NA,NA
61,169,"NOR","Norway",4,"Buskerud",61,"Drammen","Kommuner","Municipality",NA,NA
62,169,"NOR","Norway",4,"Buskerud",62,"Flå","Kommuner","Municipality",NA,NA
63,169,"NOR","Norway",4,"Buskerud",63,"Flesberg","Kommuner","Municipality",NA,NA
64,169,"NOR","Norway",4,"Buskerud",64,"Gol","Kommuner","Municipality",NA,NA
65,169,"NOR","Norway",4,"Buskerud",65,"Hemsedal","Kommuner","Municipality",NA,NA
66,169,"NOR","Norway",4,"Buskerud",66,"Hole","Kommuner","Municipality",NA,NA
67,169,"NOR","Norway",4,"Buskerud",67,"Hol","Kommuner","Municipality",NA,NA
68,169,"NOR","Norway",4,"Buskerud",68,"Hurum","Kommuner","Municipality",NA,NA
69,169,"NOR","Norway",4,"Buskerud",69,"Kongsberg","Kommuner","Municipality",NA,NA
70,169,"NOR","Norway",4,"Buskerud",70,"Krødsherad","Kommuner","Municipality",NA,NA
71,169,"NOR","Norway",4,"Buskerud",71,"Lier","Kommuner","Municipality",NA,NA
72,169,"NOR","Norway",4,"Buskerud",72,"Modum","Kommuner","Municipality",NA,NA
73,169,"NOR","Norway",4,"Buskerud",73,"Nedre Eiker","Kommuner","Municipality",NA,NA
74,169,"NOR","Norway",4,"Buskerud",74,"Nes","Kommuner","Municipality",NA,NA
75,169,"NOR","Norway",4,"Buskerud",75,"Nore og Uvdal","Kommuner","Municipality",NA,NA
76,169,"NOR","Norway",4,"Buskerud",76,"Røyken","Kommuner","Municipality",NA,NA
77,169,"NOR","Norway",4,"Buskerud",77,"Ringerike","Kommuner","Municipality",NA,NA
78,169,"NOR","Norway",4,"Buskerud",78,"Rollag","Kommuner","Municipality",NA,NA
79,169,"NOR","Norway",4,"Buskerud",79,"Sigdal","Kommuner","Municipality",NA,NA
80,169,"NOR","Norway",5,"Finnmark",80,"Alta","Kommuner","Municipality",NA,NA
81,169,"NOR","Norway",5,"Finnmark",81,"Båtsfjord","Kommuner","Municipality",NA,NA
82,169,"NOR","Norway",5,"Finnmark",82,"Berlevåg","Kommuner","Municipality",NA,NA
83,169,"NOR","Norway",5,"Finnmark",83,"Gamvik","Kommuner","Municipality",NA,NA
84,169,"NOR","Norway",5,"Finnmark",84,"Hammerfest","Kommuner","Municipality",NA,NA
85,169,"NOR","Norway",5,"Finnmark",85,"Hasvik","Kommuner","Municipality",NA,NA
86,169,"NOR","Norway",5,"Finnmark",86,"Karasjok","Kommuner","Municipality",NA,NA
87,169,"NOR","Norway",5,"Finnmark",87,"Kautokeino","Kommuner","Municipality",NA,"Guovdageaidnu"
88,169,"NOR","Norway",5,"Finnmark",88,"Kvalsund","Kommuner","Municipality",NA,NA
89,169,"NOR","Norway",5,"Finnmark",89,"Lebesby","Kommuner","Municipality",NA,NA
90,169,"NOR","Norway",5,"Finnmark",90,"Loppa","Kommuner","Municipality",NA,NA
91,169,"NOR","Norway",5,"Finnmark",91,"Måsøy","Kommuner","Municipality",NA,NA
92,169,"NOR","Norway",5,"Finnmark",92,"Nesseby","Kommuner","Municipality",NA,"Unjárga"
93,169,"NOR","Norway",5,"Finnmark",93,"Nordkapp","Kommuner","Municipality",NA,NA
