prfInformationCarrier,prfYear,prfInvestmentsMillNOK,prfNpdidInformationCarrier,dateSyncNPD
ALBUSKJELL,1974,116,43437,29.01.2020
ALBUSKJELL,1975,319,43437,29.01.2020
ALBUSKJELL,1976,879,43437,29.01.2020
ALBUSKJELL,1977,398,43437,29.01.2020
ALBUSKJELL,1978,235,43437,29.01.2020
ALBUSKJELL,1979,96,43437,29.01.2020
ALBUSKJELL,1980,64,43437,29.01.2020
ALBUSKJELL,1981,40,43437,29.01.2020
ALBUSKJELL,1982,232,43437,29.01.2020
ALBUSKJELL,1983,263,43437,29.01.2020
ALBUSKJELL,1984,0,43437,29.01.2020
ALBUSKJELL,1985,0,43437,29.01.2020
ALBUSKJELL,1986,58,43437,29.01.2020
ALBUSKJELL,1987,5,43437,29.01.2020
ALBUSKJELL,1988,5,43437,29.01.2020
ALBUSKJELL,1989,14,43437,29.01.2020
ALBUSKJELL,1990,8,43437,29.01.2020
ALBUSKJELL,1991,4,43437,29.01.2020
ALBUSKJELL,1992,10,43437,29.01.2020
ALBUSKJELL,1993,0,43437,29.01.2020
ALBUSKJELL,1994,3,43437,29.01.2020
ALBUSKJELL,1995,3,43437,29.01.2020
ALBUSKJELL,1996,0,43437,29.01.2020
ALBUSKJELL,1997,0,43437,29.01.2020
ALBUSKJELL,1998,0,43437,29.01.2020
ALBUSKJELL,1999,0,43437,29.01.2020
ALBUSKJELL,2000,0,43437,29.01.2020
ALBUSKJELL,2001,0,43437,29.01.2020
ALBUSKJELL,2002,0,43437,29.01.2020
ALBUSKJELL,2003,0,43437,29.01.2020
ALBUSKJELL,2004,0,43437,29.01.2020
ALBUSKJELL,2005,0,43437,29.01.2020
ALBUSKJELL,2006,0,43437,29.01.2020
ALBUSKJELL,2007,0,43437,29.01.2020
ALBUSKJELL,2008,0,43437,29.01.2020
ALBUSKJELL,2009,0,43437,29.01.2020
ALBUSKJELL,2010,0,43437,29.01.2020
ALBUSKJELL,2011,0,43437,29.01.2020
ALBUSKJELL,2012,0,43437,29.01.2020
ALBUSKJELL,2013,0,43437,29.01.2020
ALBUSKJELL,2014,0,43437,29.01.2020
ALBUSKJELL,2015,0,43437,29.01.2020
ALBUSKJELL,2016,0,43437,29.01.2020
ALBUSKJELL,2017,0,43437,29.01.2020
ALBUSKJELL,2018,0,43437,29.01.2020
ALVE,2006,46,4444332,29.01.2020
ALVE,2007,712,4444332,29.01.2020
ALVE,2008,1636,4444332,29.01.2020
ALVE,2009,674,4444332,29.01.2020
ALVE,2010,427,4444332,29.01.2020
ALVE,2011,369,4444332,29.01.2020
ALVE,2012,32,4444332,29.01.2020
ALVE,2013,6,4444332,29.01.2020
ALVE,2014,4,4444332,29.01.2020
ALVE,2015,2,4444332,29.01.2020
ALVE,2016,328,4444332,29.01.2020
ALVE,2017,2,4444332,29.01.2020
ALVE,2018,6,4444332,29.01.2020
ALVE,2019,0,4444332,29.01.2020
ALVE,2020,0,4444332,29.01.2020
ALVHEIM,2004,485,2845712,29.01.2020
ALVHEIM,2005,3253,2845712,29.01.2020
ALVHEIM,2006,3840,2845712,29.01.2020
ALVHEIM,2007,4339,2845712,29.01.2020
ALVHEIM,2008,2684,2845712,29.01.2020
ALVHEIM,2009,433,2845712,29.01.2020
ALVHEIM,2010,1320,2845712,29.01.2020
ALVHEIM,2011,1354,2845712,29.01.2020
ALVHEIM,2012,1170,2845712,29.01.2020
ALVHEIM,2013,237,2845712,29.01.2020
ALVHEIM,2014,220,2845712,29.01.2020
ALVHEIM,2015,2482,2845712,29.01.2020
ALVHEIM,2016,1990,2845712,29.01.2020
ALVHEIM,2017,1079,2845712,29.01.2020
ALVHEIM,2018,1103,2845712,29.01.2020
ALVHEIM,2019,0,2845712,29.01.2020
ALVHEIM,2020,0,2845712,29.01.2020
ATLA,2011,324,21106284,29.01.2020
ATLA,2012,1079,21106284,29.01.2020
ATLA,2013,0,21106284,29.01.2020
ATLA,2014,0,21106284,29.01.2020
ATLA,2015,0,21106284,29.01.2020
ATLA,2016,16,21106284,29.01.2020
ATLA,2017,-12,21106284,29.01.2020
ATLA,2018,1,21106284,29.01.2020
ATLA,2019,0,21106284,29.01.2020
ATLA,2020,0,21106284,29.01.2020
ATLA,2021,0,21106284,29.01.2020
BALDER,1990,0,43562,29.01.2020
BALDER,1991,0,43562,29.01.2020
BALDER,1992,0,43562,29.01.2020
BALDER,1993,0,43562,29.01.2020
BALDER,1994,0,43562,29.01.2020
BALDER,1995,1452,43562,29.01.2020
BALDER,1996,1731,43562,29.01.2020
BALDER,1997,1601,43562,29.01.2020
BALDER,1998,2705,43562,29.01.2020
BALDER,1999,1548,43562,29.01.2020
BALDER,2000,1426,43562,29.01.2020
BALDER,2001,3611,43562,29.01.2020
BALDER,2002,1888,43562,29.01.2020
BALDER,2003,2149,43562,29.01.2020
BALDER,2004,1087,43562,29.01.2020
BALDER,2005,725,43562,29.01.2020
BALDER,2006,168,43562,29.01.2020
BALDER,2007,786,43562,29.01.2020
BALDER,2008,35,43562,29.01.2020
BALDER,2009,384,43562,29.01.2020
BALDER,2010,376,43562,29.01.2020
BALDER,2011,1526,43562,29.01.2020
BALDER,2012,1438,43562,29.01.2020
BALDER,2013,2880,43562,29.01.2020
BALDER,2014,1113,43562,29.01.2020
BALDER,2015,2566,43562,29.01.2020
BALDER,2016,1620,43562,29.01.2020
BALDER,2017,389,43562,29.01.2020
BALDER,2018,1296,43562,29.01.2020
BALDER,2019,0,43562,29.01.2020
BALDER,2020,0,43562,29.01.2020
BAUGE,2017,202,29446221,29.01.2020
BAUGE,2018,776,29446221,29.01.2020
BAUGE,2019,0,29446221,29.01.2020
BAUGE,2020,0,29446221,29.01.2020
BAUGE,2021,0,29446221,29.01.2020
BLANE,2005,51,3437650,29.01.2020
BLANE,2006,300,3437650,29.01.2020
BLANE,2007,129,3437650,29.01.2020
BLANE,2008,61,3437650,29.01.2020
BLANE,2009,3,3437650,29.01.2020
BLANE,2010,-3,3437650,29.01.2020
BLANE,2011,-2,3437650,29.01.2020
BLANE,2012,0,3437650,29.01.2020
BLANE,2013,0,3437650,29.01.2020
BLANE,2014,18,3437650,29.01.2020
BLANE,2015,-9,3437650,29.01.2020
BLANE,2016,0,3437650,29.01.2020
BLANE,2017,0,3437650,29.01.2020
BLANE,2018,0,3437650,29.01.2020
BLANE,2019,0,3437650,29.01.2020
BLANE,2020,0,3437650,29.01.2020
BLANE,2021,0,3437650,29.01.2020
BRAGE,1989,0,43651,29.01.2020
BRAGE,1990,370,43651,29.01.2020
BRAGE,1991,2230,43651,29.01.2020
BRAGE,1992,3397,43651,29.01.2020
BRAGE,1993,2439,43651,29.01.2020
BRAGE,1994,335,43651,29.01.2020
BRAGE,1995,419,43651,29.01.2020
BRAGE,1996,525,43651,29.01.2020
BRAGE,1997,526,43651,29.01.2020
BRAGE,1998,496,43651,29.01.2020
BRAGE,1999,163,43651,29.01.2020
BRAGE,2000,252,43651,29.01.2020
BRAGE,2001,483,43651,29.01.2020
BRAGE,2002,217,43651,29.01.2020
BRAGE,2003,212,43651,29.01.2020
BRAGE,2004,461,43651,29.01.2020
BRAGE,2005,182,43651,29.01.2020
BRAGE,2006,323,43651,29.01.2020
BRAGE,2007,894,43651,29.01.2020
BRAGE,2008,547,43651,29.01.2020
BRAGE,2009,872,43651,29.01.2020
BRAGE,2010,1036,43651,29.01.2020
BRAGE,2011,683,43651,29.01.2020
BRAGE,2012,696,43651,29.01.2020
BRAGE,2013,749,43651,29.01.2020
BRAGE,2014,1112,43651,29.01.2020
BRAGE,2015,983,43651,29.01.2020
BRAGE,2016,59,43651,29.01.2020
BRAGE,2017,793,43651,29.01.2020
BRAGE,2018,502,43651,29.01.2020
BRAGE,2019,0,43651,29.01.2020
BRAGE,2020,0,43651,29.01.2020
BRYNHILD,2011,210,21123063,29.01.2020
BRYNHILD,2012,1257,21123063,29.01.2020
BRYNHILD,2013,3394,21123063,29.01.2020
BRYNHILD,2014,2230,21123063,29.01.2020
BRYNHILD,2015,997,21123063,29.01.2020
BRYNHILD,2016,-30,21123063,29.01.2020
BRYNHILD,2017,0,21123063,29.01.2020
BRYNHILD,2018,2,21123063,29.01.2020
BRYNHILD,2019,0,21123063,29.01.2020
BRYNHILD,2020,0,21123063,29.01.2020
BYRDING,2016,40,28975067,29.01.2020
BYRDING,2017,930,28975067,29.01.2020
BYRDING,2018,20,28975067,29.01.2020
BYRDING,2019,0,28975067,29.01.2020
BYRDING,2020,0,28975067,29.01.2020
BYRDING,2021,0,28975067,29.01.2020
BØYLA,2011,85,22492497,29.01.2020
BØYLA,2012,414,22492497,29.01.2020
BØYLA,2013,1276,22492497,29.01.2020
BØYLA,2014,3260,22492497,29.01.2020
BØYLA,2015,432,22492497,29.01.2020
BØYLA,2016,-71,22492497,29.01.2020
BØYLA,2017,26,22492497,29.01.2020
BØYLA,2018,19,22492497,29.01.2020
BØYLA,2019,0,22492497,29.01.2020
BØYLA,2020,0,22492497,29.01.2020
COD,1973,6,43785,29.01.2020
COD,1974,123,43785,29.01.2020
COD,1975,297,43785,29.01.2020
COD,1976,248,43785,29.01.2020
COD,1977,188,43785,29.01.2020
COD,1978,8,43785,29.01.2020
COD,1979,16,43785,29.01.2020
COD,1980,24,43785,29.01.2020
COD,1981,39,43785,29.01.2020
COD,1982,23,43785,29.01.2020
COD,1983,2,43785,29.01.2020
COD,1984,1,43785,29.01.2020
COD,1985,1,43785,29.01.2020
COD,1986,0,43785,29.01.2020
COD,1987,1,43785,29.01.2020
COD,1988,1,43785,29.01.2020
COD,1989,7,43785,29.01.2020
COD,1990,2,43785,29.01.2020
COD,1991,0,43785,29.01.2020
COD,1992,0,43785,29.01.2020
COD,1993,0,43785,29.01.2020
COD,1994,6,43785,29.01.2020
COD,1995,10,43785,29.01.2020
COD,1996,0,43785,29.01.2020
COD,1997,0,43785,29.01.2020
COD,1998,0,43785,29.01.2020
COD,1999,0,43785,29.01.2020
